reporting_year,facility_name,ghgrp_id,reported_address,latitude,longitude,city_name,county_name,state,zip_code,parent_companies,ghg_quantity_metric_tons_co2e,subparts,ghg_is_negative,source_sheet
2023,ADVANSIX INC - CHESTERFIELD PLANT,1000627,4101 BERMUDA HUNDRED RD,37.336111,-77.2825,Chester,Chesterfield County,VA,23836,ADVANSIX INC (100%),60212.0,C,False,2023
2023,ADVANSIX INCORPORATED - HOPEWELL,1000630,905 EAST RANDOLPH ROAD,37.1815,-77.1621,Hopewell,Hopewell City,VA,23860,ADVANSIX INC (100%),1227774.0,"C,G,PP",False,2023
2023,ANHEUSER BUSCH LLC,1003176,7801 POCAHONTAS TRAIL,37.237518,-76.652662,Williamsburg,James City County,VA,23185,ANHEUSER-BUSCH COS LLC (100%),29532.0,C,False,2023
2023,ATLANTIC WASTE DISPOSAL INC - SUSSEX COUNTY LAND,1003826,3474 ATLANTIC LN,37.061279,-77.177106,Waverly,Sussex County,VA,23890,WASTE MANAGEMENT INC (100%),110284.0,"C,HH",False,2023
2023,AUGUSTA COUNTY SVC AUTHORITY LANDFILL,1006344,749 Christians Creek Road,38.0781,-79.0635,Staunton,Augusta County,VA,24401,COUNTY OF AUGUSTA VIRGINIA (57.73%); CITY OF WAYNESBORO VIRGINIA (21.86%); CITY OF STAUNTON VIRGINIA (20.41%),104083.0,"C,HH",False,2023
2023,Abbott Nutrition - A Division of Abbott Laboratories,1003205,1518 MAIN STREET,37.13375,-79.26404,Altavista,Campbell County,VA,24517,ABBOTT LABORATORIES (100%),30662.0,C,False,2023
2023,Amherst County Landfill,1013081,715 KENTMOOR FARM RD,37.47626,-79.03557,Madison Heights,Amherst County,VA,24521,COUNTY OF AMHERST (100%),29580.0,HH,False,2023
2023,BATTLE CREEK LANDFILL,1002639,219 LANDFILL DRIVE,38.622463,-78.586795,Luray,Page County,VA,22835,PAGE COUNTY VIRGINIA (100%),70617.0,"C,HH",False,2023
2023,BEAR ISLAND PAPER COMPANY LLC,1005038,10026 OLD RIDGE ROAD,37.8181,-77.4375,Ashland,Hanover County,VA,23005,Cascades Holding US (100%),60768.0,"C,II",False,2023
2023,BRISTOL INTEGRATED SOLID WASTE MANAGEMENT FACILITY,1004848,2655 Valley Drive,36.603075,-82.153334,Bristol,Bristol City,VA,24201,CITY OF BRISTOL VA (100%),13735.0,HH,False,2023
2023,BRUNSWICK WASTE MANAGEMENT FACILITY,1007680,107 MALLARD CROSSING ROAD,36.762423,-77.809706,Lawrenceville,Brunswick County,VA,23868,REPUBLIC SERVICES INC (100%),52172.0,"C,HH",False,2023
2023,Bear Garden Generating Station,1000550,2608 C.G.Woodson Road,37.6961,-78.2848,New Canton,Buckingham,VA,23123,DOMINION ENERGY INC (100%),1146397.0,"C,D",False,2023
2023,Bedford County Landfill,1011233,1060 Recycle Road,37.256434,-79.482325,Bedford,Bedford County,VA,24523,COUNTY OF BEDFORD VA (100%),31387.0,"C,HH",False,2023
2023,Blue Ridge Resource Authority Landfill,1004446,225 Landfill Road,37.77239,-79.357634,Buena Vista,Rockbridge County,VA,24416,BLUE RIDGE RESOURCE AUTHORITY (100%),47648.0,"C,HH",False,2023
2023,Brunswick County Power Station,1011850,20100 Governor Harrison Pkwy,36.766854,-77.711098,Freeman,Brunswick County,VA,23856,DOMINION ENERGY INC (100%),2405590.0,"C,D",False,2023
2023,Buchanan Mine #1,1008387,1636 Honaker Branch Road,37.207886,-81.916612,Raven,Buchanan County,VA,24639,CORONADO GROUP LLC (100%),1092629.0,FF,False,2023
2023,Buchanan Mine - Preparation Plant,1005351,4086 Page Drive,37.220511,-82.018916,Oakwood,Buchanan County,VA,24631,CORONADO GROUP LLC (100%),29765.0,C,False,2023
2023,"Buchanan Units 1, 2",1000174,RT 626 OFF RT 460,37.1753,-81.9617,Keen Mountain,Buchanan,VA,24631,"LS Power Development, LLC (100%)",97733.0,D,False,2023
2023,CGGSWA Regional Landfill,1002100,162 Landfill Road,36.7623,-80.7516,Hillsville,Carroll County,VA,24343,CARROLL GRAYSON GALAX SOLID WASTE AUTHORITY (100%),40559.0,"C,HH",False,2023
2023,CHAPARRAL STEEL,1000394,25801 HOFHEIMER WAY,37.179254,-77.447487,Petersburg,Dinwiddie County,VA,23803,GERDAU USA INC (100%),103874.0,"C,Q",False,2023
2023,CONCORD TURNPIKE REGIONAL LANDFILL,1003566,2525 CONCORD TURNPIKE,37.391841,-79.109755,Lynchburg,Lynchburg City,VA,24506,REGION 2000 SERVICES AUTHORITY (100%),58814.0,"C,HH",False,2023
2023,CORNING INCORPORATED - BLACKSBURG PLANT,1006643,3050 N FRANKLIN ST,37.17298,-80.42048,Christiansburg,Montgomery County,VA,24073,CORNING INC (100%),26886.0,C,False,2023
2023,"COVANTA ALEXANDRIA/ARLINGTON, INC",1001813,5301 EISENHOWER AVENUE,38.80137,-77.12859,Alexandria,Alexandria City,VA,22304,COVANTA HOLDING CORP (100%),124675.0,C,False,2023
2023,Celanese Acetate LLC - Manufacturing Processes,1003300,3520 Virginia Avenue,37.3451,-80.764,Narrows,Giles County,VA,24124,CELANESE CORP (100%),542610.0,"C,TT",False,2023
2023,Chesterfield Power Station,1000964,500 COXENDALE ROAD,37.3822,-77.3833,Chester,Chesterfield,VA,23826,DOMINION ENERGY INC (100%),1292661.0,"C,D",False,2023
2023,City of Charlottesville,1004063,605 East Main St,38.0296,-78.47772,Charlottesville,Charlottesville City,VA,22902,CITY OF CHARLOTTESVILLE VIRGINIA (100%),1602.0,"NN,W",False,2023
2023,"City of Richmond - DPU, Natural Gas LDC",1002273,730 East Broad Street,37.489045,-77.665066,Richmond,Chesterfield County,VA,23114,CITY OF RICHMOND VIRGINIA (100%),23972.0,"NN,W",False,2023
2023,Clinch River,1007359,STATE ROUTE 82,36.9333,-82.1997,Cleveland,Russell,VA,24225,AMERICAN ELECTRIC POWER CO INC (100%),61857.0,"C,D",False,2023
2023,Clover Power Station,1001093,4091 Clover Rd,36.8692,-78.7046,Clover,Halifax,VA,24534,DOMINION ENERGY INC (50%); OLD DOMINION ELECTRIC COOPERATIVE (50%),280701.0,D,False,2023
2023,Columbia Gas Transmission-Strasburg Compressor Station,1013927,34646 Old Valley Pike,39.008551,-78.32434,Strasburg,Shenandoah County,VA,22657,TRANSCANADA PIPELINE USA LTD (60%); GIP Pilot Acquisition Partners LP (40%),27146.0,"C,W",False,2023
2023,Commonwealth Chesapeake,1007538,3415 WHITE OAK WAY,37.9892,-75.54,New Church,Accomack,VA,23415,TYR ENERGY INC (100%),18058.0,D,False,2023
